Index Matrix Swap,Direct Memory Swap,,
0.478582,0.382093,,
0.474828,0.391594,,
0.464683,0.407124,,
0.483452,0.39838,,
0.475104,0.419796,,
0.469164,0.39456,,
0.476494,0.399783,,
0.487405,0.405295,,
0.469535,0.414114,,
0.476426,0.394614,,
0.456943,0.403779,,
0.477795,0.408988,,
0.489355,0.404207,,
0.477428,0.423863,,
0.473715,0.409038,,
0.480199,0.421122,,
0.491789,0.412964,,
0.53202,0.425362,,
0.502455,0.411117,,
0.504271,0.405387,,
0.466208,0.410348,,
0.489702,0.387403,,
0.463233,0.407393,,
0.474225,0.398463,,
0.473974,0.406935,,
0.486558,0.399288,,
0.466786,0.398121,,
0.467561,0.431771,,
0.486856,0.405169,,
0.497847,0.41301,,
0.489958,0.392956,,
0.498052,0.402187,,
0.471581,0.394525,,
0.475288,0.410726,,
0.476071,0.414683,,
0.482495,0.397996,,
0.483732,0.402015,,
0.478027,0.398922,,
0.614181,0.592796,,
0.514765,0.415122,,
0.503235,0.387842,,
0.482628,0.44084,,
0.524545,0.410627,,
0.474478,0.420667,,
0.50418,0.411107,,
0.497055,0.420035,,
0.497866,0.400153,,
0.490581,0.419427,,
0.470086,0.422214,,
0.47638,0.407169,,
0.462549,0.434639,,
0.469769,0.400504,,
0.478608,0.412716,,
0.485218,0.409775,,
0.48267,0.393612,,
0.470102,0.414159,,
0.50761,0.39347,,
0.473805,0.399816,,
0.478438,0.395794,,
0.468737,0.408642,,
0.503103,0.395494,,
0.476596,0.40471,,
0.478297,0.395761,,
0.465631,0.395154,,
0.48039,0.397038,,
0.459573,0.398685,,
0.472355,0.405201,,
0.461317,0.404519,,
0.473938,0.410013,,
0.472298,0.395046,,
0.460779,0.402362,,
0.557808,0.457295,,
0.70296,0.496029,,
0.47809,0.412204,,
0.490876,0.535786,,
0.505466,0.402257,,
0.515118,0.40035,,
0.514882,0.41974,,
0.502101,0.41119,,
0.506846,0.404,,
0.506856,0.412901,,
0.52275,0.407267,,
0.525535,0.42575,,
0.521385,0.429038,,
0.482848,0.420814,,
0.489019,0.421478,,
0.485575,0.41349,,
0.495076,0.394807,,
0.489555,0.401344,,
0.476106,0.397358,,
0.479793,0.401033,,
0.472001,0.397789,,
0.476505,0.382421,,
0.459857,0.393166,,
0.475413,0.403476,,
0.47123,0.40504,,
0.504599,0.39646,,
0.486617,0.409169,,
0.459963,0.393356,,
0.473957,0.399978,,
0.484075,0.406673,,
0.469394,0.407594,,
0.471041,0.418909,,
0.473391,0.412575,,
0.462973,0.397154,,
0.481812,0.410071,,
0.471123,0.426921,,
0.465182,0.406078,,
0.468757,0.407465,,
0.469774,0.387975,,
0.486864,0.394591,,
0.500665,0.385601,,
0.486624,0.410916,,
0.481029,0.405041,,
0.483457,0.398627,,
0.468688,0.392083,,
0.474303,0.401706,,
0.492735,0.402366,,
0.472904,0.401243,,
0.485569,0.395196,,
0.474441,0.391451,,
0.492997,0.397181,,
0.475652,0.396264,,
0.472656,0.40596,,
0.474285,0.39903,,
0.482536,0.412491,,
0.483409,0.398572,,
0.470497,0.409195,,
0.469648,0.401256,,
0.488199,0.396015,,
0.466319,0.398043,,
0.473143,0.415418,,
0.472273,0.396546,,
0.468768,0.407922,,
0.46505,0.393873,,
0.472183,0.39503,,
0.457348,0.419628,,
0.463313,0.397672,,
0.475811,0.393845,,
0.463054,0.407573,,
0.482432,0.487369,,
0.74328,0.411586,,
0.502288,0.421324,,
0.492401,0.44257,,
0.512577,0.409644,,
0.491502,0.406043,,
0.479787,0.404811,,
0.514403,0.393566,,
0.513928,0.417684,,
0.527661,0.398388,,
0.467872,0.393937,,
0.473784,0.418474,,
0.473752,0.399944,,
0.471485,0.430113,,
0.485353,0.403132,,
0.470164,0.403854,,
0.465995,0.408457,,
0.477336,0.412848,,
0.491025,0.390959,,
0.513208,0.418088,,
0.486671,0.390246,,
0.478631,0.388484,,
0.492198,0.419594,,
0.494757,0.405855,,
0.484257,0.411374,,
0.488055,0.408128,,
0.504093,0.404398,,
0.494221,0.414935,,
0.462783,0.387698,,
0.483614,0.405425,,
0.506464,0.398463,,
0.480583,0.396338,,
0.485172,0.415789,,
0.484631,0.404709,,
0.507295,0.393916,,
0.476966,0.423192,,
0.500032,0.393847,,
0.504472,0.413446,,
0.477196,0.397885,,
0.469576,0.395597,,
0.470907,0.398444,,
0.485317,0.398831,,
0.483931,0.401608,,
0.502219,0.396406,,
0.461508,0.403295,,
0.464519,0.403074,,
0.476506,0.408353,,
0.466457,0.401574,,
0.474097,0.393966,,
0.489362,0.400212,,
0.473319,0.41314,,
0.48847,0.415108,,
0.533997,0.445466,,
0.512655,0.397337,,
0.656904,0.393321,,
0.483387,0.431938,,
0.471723,0.399691,,
0.503147,0.42302,,
